model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-0.5B-Instruct,ema,0,age_bin,0.37976,0.30872,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,0,age_bin,0.47269,0.46994,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,0,age_bin,0.39557,0.30352,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,0,age_bin,0.38485,0.28477,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,0,age_bin,0.35764,0.22814,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,0,age_bin,0.33365,0.16103,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,0,gender,0.5669,0.56238,0.59076,,
Qwen/Qwen2.5-0.5B-Instruct,mm,0,gender,0.58918,0.58484,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,0,gender,0.61332,0.61148,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,0,gender,0.60949,0.6067,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,0,gender,0.60406,0.5967,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,0,gender,0.58439,0.55472,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,0,gender,0.50075,0.31921,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,0,star_sign,0.08182,0.07067,,0.07675,0.08671
Qwen/Qwen2.5-0.5B-Instruct,mm,0,star_sign,0.08771,0.07388,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,0,star_sign,0.08343,0.02285,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,4,age_bin,0.47539,0.46835,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,4,age_bin,0.38241,0.32586,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,4,age_bin,0.49743,0.49838,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,4,age_bin,0.4812,0.47382,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,4,age_bin,0.43789,0.39773,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,4,age_bin,0.35122,0.20455,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,4,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,4,gender,0.59273,0.58893,0.61925,,
Qwen/Qwen2.5-0.5B-Instruct,mm,4,gender,0.5269,0.50831,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,4,gender,0.60957,0.60883,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,4,gender,0.60828,0.60692,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,4,gender,0.60441,0.6014,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,4,gender,0.60197,0.59343,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,4,gender,0.52444,0.39635,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,4,star_sign,0.08358,0.07699,,0.07854,0.08891
Qwen/Qwen2.5-0.5B-Instruct,mm,4,star_sign,0.07825,0.02937,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,4,star_sign,0.0843,0.03799,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,4,star_sign,0.08345,0.03209,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,4,star_sign,0.08347,0.02315,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,8,age_bin,0.53899,0.54659,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,8,age_bin,0.40176,0.35352,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,8,age_bin,0.58575,0.59157,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,8,age_bin,0.57272,0.57562,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,8,age_bin,0.4947,0.47082,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,8,age_bin,0.38974,0.28254,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,8,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,8,gender,0.61853,0.61691,0.6597,,
Qwen/Qwen2.5-0.5B-Instruct,mm,8,gender,0.54442,0.52032,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,8,gender,0.62761,0.62684,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,8,gender,0.62485,0.62377,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,8,gender,0.61942,0.61788,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,8,gender,0.60737,0.60283,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,8,gender,0.57367,0.51344,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,8,star_sign,0.08147,0.07562,,0.07611,0.08688
Qwen/Qwen2.5-0.5B-Instruct,mm,8,star_sign,0.07911,0.03495,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,8,star_sign,0.08755,0.05023,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,8,star_sign,0.08859,0.04724,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,8,star_sign,0.08496,0.03054,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,8,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,8,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,12,age_bin,0.52983,0.53616,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,12,age_bin,0.44201,0.41807,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,12,age_bin,0.56504,0.57132,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,12,age_bin,0.55459,0.55942,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,12,age_bin,0.49534,0.48075,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,12,age_bin,0.38959,0.29021,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,12,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,12,gender,0.60414,0.60362,0.64023,,
Qwen/Qwen2.5-0.5B-Instruct,mm,12,gender,0.54606,0.53276,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,12,gender,0.62489,0.62439,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,12,gender,0.61879,0.61814,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,12,gender,0.60819,0.60675,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,12,gender,0.59506,0.58843,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,12,gender,0.56116,0.50497,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,12,star_sign,0.07786,0.07378,,0.07281,0.0831
Qwen/Qwen2.5-0.5B-Instruct,mm,12,star_sign,0.08,0.0397,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,12,star_sign,0.0912,0.05554,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,12,star_sign,0.09017,0.0507,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,12,star_sign,0.08589,0.03427,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,12,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,12,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,16,age_bin,0.56758,0.57375,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,16,age_bin,0.47746,0.46467,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,16,age_bin,0.60311,0.60908,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,16,age_bin,0.59823,0.60441,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,16,age_bin,0.5523,0.55279,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,16,age_bin,0.41097,0.32417,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,16,age_bin,0.33333,0.15881,,,
