model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-1.5B-Instruct,ema,0,age_bin,0.40624,0.35357,,,
Qwen/Qwen2.5-1.5B-Instruct,mm,0,age_bin,0.49154,0.49093,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,0,age_bin,0.4177,0.34568,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,0,age_bin,0.41318,0.33634,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,0,age_bin,0.38508,0.28861,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,0,age_bin,0.34162,0.18564,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,0,gender,0.58532,0.58358,0.60857,,
Qwen/Qwen2.5-1.5B-Instruct,mm,0,gender,0.58922,0.58836,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,0,gender,0.6105,0.61048,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,0,gender,0.60821,0.60811,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,0,gender,0.60124,0.60067,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,0,gender,0.59647,0.59408,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,0,gender,0.57431,0.54304,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,0,star_sign,0.08424,0.0723,,0.07923,0.08873
Qwen/Qwen2.5-1.5B-Instruct,mm,0,star_sign,0.08997,0.08124,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,0,star_sign,0.08333,0.02267,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,4,age_bin,0.54113,0.54541,,,
